round,run,path,round_summary,changes_vs_previous,img_size,maxpool,model,dropout,normalization,mean_std,optimizer,lr,weight_decay,lr_scheduler,loss,batch_size,epoch_cap,early_stopping,checkpoint,split,split_seed,training_seed,train_val_samples,augmentation,augmentation_timing,data_loading,num_workers,device,epochs_used,best_epoch,best_train_loss,best_train_acc,best_val_loss,best_val_acc,last_train_loss,last_train_acc,last_val_loss,last_val_acc,min_per_epoch,total_min,syn_correct,syn_n,syn_acc,syn_classes_with_errors,syn_worst_classes,full_path,note
Round 1,round1,Round 1,"เวอร์ชันแรกที่เทรนได้จริงบน Colab: ResNet18 pretrained ทำ Transfer Learning, resize 32x32, หาร 255 อย่างเดียว, แบ่ง train/val แบบสุ่ม, เทรน 25 epoch แล้วเก็บโมเดล epoch สุดท้าย",- (รอบแรก),32,on,ResNet18 pretrained ImageNet (IMAGENET1K_V1); conv1 ใหม่รับ 1 ช่อง (สุ่มค่าเริ่มต้น); fc -> 72 คลาส; มี maxpool; fc = Linear ตรง ๆ (ไม่มี dropout),0.0,หาร 255 เป็นช่วง 0-1 เท่านั้น (ไม่ standardize),-,Adam,0.0001,0.0,ไม่มี,CrossEntropyLoss (ไม่ถ่วงน้ำหนัก),64,25,ไม่มี,epoch สุดท้ายเสมอ,80/20 สุ่มล้วน (ไม่ stratify),ไม่ตั้ง,ไม่ตั้ง,"50,653 / 12,664 (รวม 63,317 = 62,707 จริง + 610 augment)",เติมภาพคลาสที่มี <50 ภาพให้ครบ 50 (หมุนสุ่ม -15..+15° + Gaussian noise var=0.005 โอกาส 50%),สร้างครั้งเดียวก่อนเทรน (ภาพชุดเดิมทุก epoch),พรีโหลดทุกภาพเป็น array เดียว,0,Google Colab GPU (CUDA),25,25,0.0196,0.9931,0.086,0.9848,0.0196,0.9931,0.086,0.9848,,,232,432,0.5370370370370371,53,"163:6, 173:6, 177:6, 209:6, 212:6",D:\DSBA 3rd Year\DEEP LEARNING IN MEDICAL IMAGE AND VIDEO ANALYSIS\Project 1- Thai Character & Number Recognition\Round 1,เก็บโมเดล epoch สุดท้าย (best=last); ค่า train/val จาก log ของ Colab; synthetic วัดจาก model.pt ในโฟลเดอร์นี้
Round 2,round2,Round 2,"ปรับ pipeline หลายจุดพร้อมกันเพื่อลด overfit/เพิ่ม generalization: resize 64, ตัด maxpool, dropout, standardize, stratify split, weight decay, LR scheduler, class weight, early stopping, เก็บ best checkpoint (เทรนบน Colab) + แก้บั๊ก preprocess() ที่หาร 255 ซ้ำกับภาพ RGB ตอน inference","- resize 32->64
- ตัด maxpool (nn.Identity)
- fc: Linear -> Dropout(0.3)+Linear
- normalize: หาร 255 -> หาร 255 แล้ว (x-mean)/std จาก train set (เก็บ norm_stats.json)
- split: สุ่มล้วน -> stratify + random_state=42
- Adam: เพิ่ม weight_decay=1e-4
- เพิ่ม ReduceLROnPlateau (factor 0.5, patience 3)
- loss: เพิ่ม class weight
- epoch: fix 25 -> เพดาน 60 + early stopping (patience 10)
- เก็บโมเดล: epoch สุดท้าย -> best val_acc
- แก้บั๊ก preprocess() (เช็ค max>1 ก่อนหาร 255)",64,off,ResNet18 pretrained ImageNet (IMAGENET1K_V1); conv1 ใหม่รับ 1 ช่อง (สุ่มค่าเริ่มต้น); fc -> 72 คลาส; ตัด maxpool; fc = Dropout(0.3)+Linear,0.3,หาร 255 แล้ว standardize (x-mean)/std,0.5592 / 0.4385 (จาก train ทั้งชุด),Adam,0.0001,0.0001,"ReduceLROnPlateau(mode=min, factor=0.5, patience=3)",CrossEntropyLoss + class weight,64,60,patience 10 (ดู val_acc),best val_acc,80/20 stratify,42,ไม่ตั้ง,"50,653 / 12,664",เหมือน Round 1 (เติมให้ครบ 50 ภาพ/คลาส; หมุน ±15° + noise var 0.005 โอกาส 50%),สร้างครั้งเดียวก่อนเทรน (ภาพชุดเดิมทุก epoch),พรีโหลดทุกภาพเป็น array เดียว,0,Google Colab GPU (CUDA),41,31,0.0008,0.9995,0.081,0.9879000000000001,0.0006,0.9995999999999999,0.0822,0.9873999999999999,,,297,432,0.6875,34,"163:6, 177:6, 209:6, 212:6, 213:6",D:\DSBA 3rd Year\DEEP LEARNING IN MEDICAL IMAGE AND VIDEO ANALYSIS\Project 1- Thai Character & Number Recognition\Round 2,ตัวส่งปัจจุบัน; ค่า train/val จาก log ของ Colab; synthetic วัดจาก model.pt ในโฟลเดอร์นี้
Round 3,round3_img224,Round 3,"ทดลอง IMG_SIZE=224 (เท่า resolution ที่ ResNet18 pretrained คุ้นเคย; ภาพจริงเล็กมาก ~18x12 จึงเป็นการ upscale) คืน maxpool, เปลี่ยนเป็น lazy Dataset + cache ภาพต้นฉบับ (แก้ Colab OOM), ย้ายมาเทรน local ด้วย DirectML (AMD RX 7600S)","- resize 64->224
- คืน maxpool
- โหลดข้อมูลแบบ lazy Dataset + cache ภาพต้นฉบับใน RAM
- augmentation สุ่มใหม่ทุกครั้งที่ดึงภาพ (ทุก epoch ต่างกัน) หลัง resize
- mean/std ประเมินจาก subset สุ่ม 3,000 ภาพ
- เทรนบน DirectML (RX 7600S) แทน Colab
- DataLoader 4 worker + persistent_workers
- เพิ่มตัวเลือก env (EPOCHS, OPTIMIZER, NUM_WORKERS)",224,on,ResNet18 pretrained ImageNet (IMAGENET1K_V1); conv1 ใหม่รับ 1 ช่อง (สุ่มค่าเริ่มต้น); fc -> 72 คลาส; มี maxpool; fc = Dropout(0.3)+Linear,0.3,หาร 255 แล้ว standardize (x-mean)/std,"0.5569 / 0.4393 (subset 3,000 ภาพ)",Adam,0.0001,0.0001,"ReduceLROnPlateau(mode=min, factor=0.5, patience=3)",CrossEntropyLoss + class weight,64,60,patience 10 (ดู val_acc),best val_acc,80/20 stratify,42,ไม่ตั้ง,"50,653 / 12,664",เติมให้ครบ 50 ภาพ/คลาส (หมุน ±15° + noise var 0.005 โอกาส 50%),สุ่มใหม่ทุกครั้งที่ดึงภาพ (หลัง resize),lazy Dataset + cache ภาพต้นฉบับใน RAM,4,DirectML: AMD Radeon RX 7600S (local),46,36,0.001,0.9993000000000001,0.086,0.9854,0.0009,0.9995999999999999,0.085,0.9845,4.26,196.0,302,432,0.6990740740740741,33,"163:6, 177:6, 209:6, 212:6, 213:6",D:\DSBA 3rd Year\DEEP LEARNING IN MEDICAL IMAGE AND VIDEO ANALYSIS\Project 1- Thai Character & Number Recognition\Round 3,ประวัติทุก epoch จาก terminal log; เวลา/epoch จากแถบ tqdm
Round 4,img128,Round 4/runs/img128,ใช้ pipeline ของ Round 3 ทดลองหลายขนาดภาพ (64/96/128) และเปิด/ปิด maxpool แล้ววัด synthetic ทุกแบบ จากนั้นทำซ้ำ img96_nomp ด้วย seed ต่างกัน 2 รอบเพื่อวัดความแกว่งระหว่างรอบ (ผลแยกที่ runs/<ชื่อ>/),"- IMG_SIZE ตั้งได้ด้วย env
- maxpool เปิด/ปิดได้ (NO_MAXPOOL=1) และเก็บค่าใน norm_stats.json
- เพิ่มตัวเลือก SEED (weight เริ่มต้น, shuffle, augmentation) — การแบ่ง train/val ยัง random_state=42
- เก็บผลแยกต่อการทดลอง runs/<ชื่อ>/ (model.pt, norm_stats.json, metrics.json, synthetic.json)
- เพิ่ม evaluate_synthetic.py, run_experiments.py, compare.py",128,on,ResNet18 pretrained ImageNet (IMAGENET1K_V1); conv1 ใหม่รับ 1 ช่อง (สุ่มค่าเริ่มต้น); fc -> 72 คลาส; maxpool ตามแต่ละรัน; fc = Dropout(0.3)+Linear,0.3,หาร 255 แล้ว standardize (x-mean)/std,"0.5570 / 0.4393 (subset 3,000 ภาพ)",Adam,0.0001,0.0001,"ReduceLROnPlateau(mode=min, factor=0.5, patience=3)",CrossEntropyLoss + class weight,64,60,patience 10 (ดู val_acc),best val_acc,80/20 stratify,42,ไม่ตั้ง,"50,653 / 12,664",เติมให้ครบ 50 ภาพ/คลาส (หมุน ±15° + noise var 0.005 โอกาส 50%),สุ่มใหม่ทุกครั้งที่ดึงภาพ (หลัง resize),lazy Dataset + cache ภาพต้นฉบับใน RAM,4,DirectML: AMD Radeon RX 7600S (local),36,26,0.0019100433094196216,0.9982034627761436,0.07709533680869267,0.9849968414403032,0.0007336962906706366,0.9995064458176218,0.08237076532807833,0.984444093493367,1.98,71.2,302,432,0.6990740740740741,37,"163:6, 177:6, 209:6, 212:6, 214:6",D:\DSBA 3rd Year\DEEP LEARNING IN MEDICAL IMAGE AND VIDEO ANALYSIS\Project 1- Thai Character & Number Recognition\Round 4/runs/img128,
Round 4,img64_nomp,Round 4/runs/img64_nomp,ใช้ pipeline ของ Round 3 ทดลองหลายขนาดภาพ (64/96/128) และเปิด/ปิด maxpool แล้ววัด synthetic ทุกแบบ จากนั้นทำซ้ำ img96_nomp ด้วย seed ต่างกัน 2 รอบเพื่อวัดความแกว่งระหว่างรอบ (ผลแยกที่ runs/<ชื่อ>/),"- IMG_SIZE ตั้งได้ด้วย env
- maxpool เปิด/ปิดได้ (NO_MAXPOOL=1) และเก็บค่าใน norm_stats.json
- เพิ่มตัวเลือก SEED (weight เริ่มต้น, shuffle, augmentation) — การแบ่ง train/val ยัง random_state=42
- เก็บผลแยกต่อการทดลอง runs/<ชื่อ>/ (model.pt, norm_stats.json, metrics.json, synthetic.json)
- เพิ่ม evaluate_synthetic.py, run_experiments.py, compare.py",64,off,ResNet18 pretrained ImageNet (IMAGENET1K_V1); conv1 ใหม่รับ 1 ช่อง (สุ่มค่าเริ่มต้น); fc -> 72 คลาส; maxpool ตามแต่ละรัน; fc = Dropout(0.3)+Linear,0.3,หาร 255 แล้ว standardize (x-mean)/std,"0.5570 / 0.4392 (subset 3,000 ภาพ)",Adam,0.0001,0.0001,"ReduceLROnPlateau(mode=min, factor=0.5, patience=3)",CrossEntropyLoss + class weight,64,60,patience 10 (ดู val_acc),best val_acc,80/20 stratify,42,ไม่ตั้ง,"50,653 / 12,664",เติมให้ครบ 50 ภาพ/คลาส (หมุน ±15° + noise var 0.005 โอกาส 50%),สุ่มใหม่ทุกครั้งที่ดึงภาพ (หลัง resize),lazy Dataset + cache ภาพต้นฉบับใน RAM,4,DirectML: AMD Radeon RX 7600S (local),50,40,0.0006912292995394002,0.9996051566540974,0.11049508113510548,0.984602021478206,0.0005869252868940363,0.9997433518251634,0.11312428198515122,0.9843651295009476,1.75,87.3,296,432,0.6851851851851852,34,"163:6, 177:6, 209:6, 212:6, 213:6",D:\DSBA 3rd Year\DEEP LEARNING IN MEDICAL IMAGE AND VIDEO ANALYSIS\Project 1- Thai Character & Number Recognition\Round 4/runs/img64_nomp,
Round 4,img96,Round 4/runs/img96,ใช้ pipeline ของ Round 3 ทดลองหลายขนาดภาพ (64/96/128) และเปิด/ปิด maxpool แล้ววัด synthetic ทุกแบบ จากนั้นทำซ้ำ img96_nomp ด้วย seed ต่างกัน 2 รอบเพื่อวัดความแกว่งระหว่างรอบ (ผลแยกที่ runs/<ชื่อ>/),"- IMG_SIZE ตั้งได้ด้วย env
- maxpool เปิด/ปิดได้ (NO_MAXPOOL=1) และเก็บค่าใน norm_stats.json
- เพิ่มตัวเลือก SEED (weight เริ่มต้น, shuffle, augmentation) — การแบ่ง train/val ยัง random_state=42
- เก็บผลแยกต่อการทดลอง runs/<ชื่อ>/ (model.pt, norm_stats.json, metrics.json, synthetic.json)
- เพิ่ม evaluate_synthetic.py, run_experiments.py, compare.py",96,on,ResNet18 pretrained ImageNet (IMAGENET1K_V1); conv1 ใหม่รับ 1 ช่อง (สุ่มค่าเริ่มต้น); fc -> 72 คลาส; maxpool ตามแต่ละรัน; fc = Dropout(0.3)+Linear,0.3,หาร 255 แล้ว standardize (x-mean)/std,"0.5570 / 0.4392 (subset 3,000 ภาพ)",Adam,0.0001,0.0001,"ReduceLROnPlateau(mode=min, factor=0.5, patience=3)",CrossEntropyLoss + class weight,64,60,patience 10 (ดู val_acc),best val_acc,80/20 stratify,42,ไม่ตั้ง,"50,653 / 12,664",เติมให้ครบ 50 ภาพ/คลาส (หมุน ±15° + noise var 0.005 โอกาส 50%),สุ่มใหม่ทุกครั้งที่ดึงภาพ (หลัง resize),lazy Dataset + cache ภาพต้นฉบับใน RAM,4,DirectML: AMD Radeon RX 7600S (local),40,30,0.00151564279461338,0.9987957277949974,0.11735366804161385,0.9840492735312697,0.0008728385547613589,0.9994077349811462,0.12083392078938866,0.9837334175615919,1.59,63.6,295,432,0.6828703703703703,39,"163:6, 209:6, 214:6, 215:6, 216:6",D:\DSBA 3rd Year\DEEP LEARNING IN MEDICAL IMAGE AND VIDEO ANALYSIS\Project 1- Thai Character & Number Recognition\Round 4/runs/img96,
Round 4,img96_nomp,Round 4/runs/img96_nomp,ใช้ pipeline ของ Round 3 ทดลองหลายขนาดภาพ (64/96/128) และเปิด/ปิด maxpool แล้ววัด synthetic ทุกแบบ จากนั้นทำซ้ำ img96_nomp ด้วย seed ต่างกัน 2 รอบเพื่อวัดความแกว่งระหว่างรอบ (ผลแยกที่ runs/<ชื่อ>/),"- IMG_SIZE ตั้งได้ด้วย env
- maxpool เปิด/ปิดได้ (NO_MAXPOOL=1) และเก็บค่าใน norm_stats.json
- เพิ่มตัวเลือก SEED (weight เริ่มต้น, shuffle, augmentation) — การแบ่ง train/val ยัง random_state=42
- เก็บผลแยกต่อการทดลอง runs/<ชื่อ>/ (model.pt, norm_stats.json, metrics.json, synthetic.json)
- เพิ่ม evaluate_synthetic.py, run_experiments.py, compare.py",96,off,ResNet18 pretrained ImageNet (IMAGENET1K_V1); conv1 ใหม่รับ 1 ช่อง (สุ่มค่าเริ่มต้น); fc -> 72 คลาส; maxpool ตามแต่ละรัน; fc = Dropout(0.3)+Linear,0.3,หาร 255 แล้ว standardize (x-mean)/std,"0.5570 / 0.4392 (subset 3,000 ภาพ)",Adam,0.0001,0.0001,"ReduceLROnPlateau(mode=min, factor=0.5, patience=3)",CrossEntropyLoss + class weight,64,60,patience 10 (ดู val_acc),best val_acc,80/20 stratify,42,ไม่ตั้ง,"50,653 / 12,664",เติมให้ครบ 50 ภาพ/คลาส (หมุน ±15° + noise var 0.005 โอกาส 50%),สุ่มใหม่ทุกครั้งที่ดึงภาพ (หลัง resize),lazy Dataset + cache ภาพต้นฉบับใน RAM,4,DirectML: AMD Radeon RX 7600S (local),46,36,0.0011661751204240253,0.9992300554754902,0.08452043822443088,0.9853126974099811,0.0008716829462641864,0.9995854144868024,0.08456148987949351,0.9850758054327227,2.81,129.4,306,432,0.7083333333333334,33,"163:6, 177:6, 209:6, 212:6, 213:6",D:\DSBA 3rd Year\DEEP LEARNING IN MEDICAL IMAGE AND VIDEO ANALYSIS\Project 1- Thai Character & Number Recognition\Round 4/runs/img96_nomp,
Round 4,img96_nomp_s1,Round 4/runs/img96_nomp_s1,ใช้ pipeline ของ Round 3 ทดลองหลายขนาดภาพ (64/96/128) และเปิด/ปิด maxpool แล้ววัด synthetic ทุกแบบ จากนั้นทำซ้ำ img96_nomp ด้วย seed ต่างกัน 2 รอบเพื่อวัดความแกว่งระหว่างรอบ (ผลแยกที่ runs/<ชื่อ>/),"- IMG_SIZE ตั้งได้ด้วย env
- maxpool เปิด/ปิดได้ (NO_MAXPOOL=1) และเก็บค่าใน norm_stats.json
- เพิ่มตัวเลือก SEED (weight เริ่มต้น, shuffle, augmentation) — การแบ่ง train/val ยัง random_state=42
- เก็บผลแยกต่อการทดลอง runs/<ชื่อ>/ (model.pt, norm_stats.json, metrics.json, synthetic.json)
- เพิ่ม evaluate_synthetic.py, run_experiments.py, compare.py",96,off,ResNet18 pretrained ImageNet (IMAGENET1K_V1); conv1 ใหม่รับ 1 ช่อง (สุ่มค่าเริ่มต้น); fc -> 72 คลาส; maxpool ตามแต่ละรัน; fc = Dropout(0.3)+Linear,0.3,หาร 255 แล้ว standardize (x-mean)/std,"0.5570 / 0.4392 (subset 3,000 ภาพ)",Adam,0.0001,0.0001,"ReduceLROnPlateau(mode=min, factor=0.5, patience=3)",CrossEntropyLoss + class weight,64,60,patience 10 (ดู val_acc),best val_acc,80/20 stratify,42,seed=1,"50,653 / 12,664",เติมให้ครบ 50 ภาพ/คลาส (หมุน ±15° + noise var 0.005 โอกาส 50%),สุ่มใหม่ทุกครั้งที่ดึงภาพ (หลัง resize),lazy Dataset + cache ภาพต้นฉบับใน RAM,4,DirectML: AMD Radeon RX 7600S (local),32,22,0.0017189681102811874,0.9984601109509802,0.08256871161246075,0.9849178774478837,0.0008425669539891797,0.9996248988213926,0.08546136111980365,0.984602021478206,3.17,101.6,298,432,0.6898148148148148,34,"163:6, 177:6, 209:6, 212:6, 213:6",D:\DSBA 3rd Year\DEEP LEARNING IN MEDICAL IMAGE AND VIDEO ANALYSIS\Project 1- Thai Character & Number Recognition\Round 4/runs/img96_nomp_s1,
Round 4,img96_nomp_s2,Round 4/runs/img96_nomp_s2,ใช้ pipeline ของ Round 3 ทดลองหลายขนาดภาพ (64/96/128) และเปิด/ปิด maxpool แล้ววัด synthetic ทุกแบบ จากนั้นทำซ้ำ img96_nomp ด้วย seed ต่างกัน 2 รอบเพื่อวัดความแกว่งระหว่างรอบ (ผลแยกที่ runs/<ชื่อ>/),"- IMG_SIZE ตั้งได้ด้วย env
- maxpool เปิด/ปิดได้ (NO_MAXPOOL=1) และเก็บค่าใน norm_stats.json
- เพิ่มตัวเลือก SEED (weight เริ่มต้น, shuffle, augmentation) — การแบ่ง train/val ยัง random_state=42
- เก็บผลแยกต่อการทดลอง runs/<ชื่อ>/ (model.pt, norm_stats.json, metrics.json, synthetic.json)
- เพิ่ม evaluate_synthetic.py, run_experiments.py, compare.py",96,off,ResNet18 pretrained ImageNet (IMAGENET1K_V1); conv1 ใหม่รับ 1 ช่อง (สุ่มค่าเริ่มต้น); fc -> 72 คลาส; maxpool ตามแต่ละรัน; fc = Dropout(0.3)+Linear,0.3,หาร 255 แล้ว standardize (x-mean)/std,"0.5570 / 0.4392 (subset 3,000 ภาพ)",Adam,0.0001,0.0001,"ReduceLROnPlateau(mode=min, factor=0.5, patience=3)",CrossEntropyLoss + class weight,64,60,patience 10 (ดู val_acc),best val_acc,80/20 stratify,42,seed=2,"50,653 / 12,664",เติมให้ครบ 50 ภาพ/คลาส (หมุน ±15° + noise var 0.005 โอกาส 50%),สุ่มใหม่ทุกครั้งที่ดึงภาพ (หลัง resize),lazy Dataset + cache ภาพต้นฉบับใน RAM,4,DirectML: AMD Radeon RX 7600S (local),44,34,0.0011170486162551572,0.9993090241446706,0.09747946964206575,0.9845230574857865,0.0009374196888989036,0.9994274771484414,0.09307183833071678,0.9842861655085281,3.09,135.8,307,432,0.7106481481481481,33,"163:6, 177:6, 209:6, 212:6, 213:6",D:\DSBA 3rd Year\DEEP LEARNING IN MEDICAL IMAGE AND VIDEO ANALYSIS\Project 1- Thai Character & Number Recognition\Round 4/runs/img96_nomp_s2,
Round 5,img96_nomp_aug_s1,Round 5/runs/img96_nomp_aug_s1,"เปลี่ยนเฉพาะ Data Augmentation: สุ่มแปลงภาพเทรน *ทุกภาพ* ระหว่างเทรน (หมุน/ย่อขยาย/เลื่อน, ปรับความหนาเส้น, ลบส่วนของภาพ) เฉพาะชุด train ใช้ข้อมูลของอาจารย์เท่านั้น เทรนที่ 96x96 ไม่มี maxpool 2 รอบ (seed 1 บน Colab, seed 2 บนเครื่อง DirectML) เทียบกับ img96_nomp ของ Round 4","- Augmentation ใหม่กับทุกภาพของชุด train (เดิมเฉพาะภาพเติม ~1%): หมุน ±10°/ย่อขยาย 0.9–1.1/เลื่อน ±6% (50%), ปรับความหนาเส้น 1–2% ของขนาดภาพ (30%), ลบส่วนของภาพ 1–2 ก้อน ก้อนละ 10–35% (40%)
- ชุด val ไม่ถูก augment; โมเดล/optimizer/loss/scheduler/early stopping คงเดิม
- เพิ่ม env AUGMENT, AUG_PREVIEW; TestingCNN แก้โหลดน้ำหนักจาก CUDA (map_location='cpu') และภาพ 1-bit (bool->uint8)",96,off,ResNet18 pretrained ImageNet (IMAGENET1K_V1); conv1 ใหม่รับ 1 ช่อง (สุ่มค่าเริ่มต้น); fc -> 72 คลาส; ไม่มี maxpool (96x96); fc = Dropout(0.3)+Linear,0.3,หาร 255 แล้ว standardize (x-mean)/std,"0.5568 / 0.4390 (subset 3,000 ภาพ)",Adam,0.0001,0.0001,"ReduceLROnPlateau(mode=min, factor=0.5, patience=3)",CrossEntropyLoss + class weight,64,60,patience 10 (ดู val_acc),best val_acc,80/20 stratify,42,seed=1,"50,653 / 12,664","ภาพเติม (ครบ 50/คลาส): หมุน ±15° + noise; ทุกภาพ train: หมุน ±10°/ย่อขยาย/เลื่อน 50%, ปรับความหนาเส้น 30%, ลบส่วนของภาพ 40%",สุ่มใหม่ทุกครั้งที่ดึงภาพ (เฉพาะชุด train),lazy Dataset + cache ภาพต้นฉบับใน RAM,2,Google Colab GPU (CUDA),55,45,0.014635976882988936,0.9854697648707875,0.06956877922883252,0.9853126974099811,0.013313506258249745,0.9862199672280023,0.06948509799478801,0.9849178774478837,1.98,108.7,302,432,0.6990740740740741,33,"163:6, 177:6, 209:6, 212:6, 213:6",D:\DSBA 3rd Year\DEEP LEARNING IN MEDICAL IMAGE AND VIDEO ANALYSIS\Project 1- Thai Character & Number Recognition\Round 5/runs/img96_nomp_aug_s1, [Colab GPU; augmentation ใหม่]
